ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,default payment next month,TOTAL PAID,TOTAL_SPEND,
44,140000,2,2,1,37,0,0,0,0,0,0,0,20000,385134,
45,40000,2,1,2,30,0,0,0,2,0,0,0,13000,147185,
46,210000,1,1,2,29,-2,-2,-2,-2,-2,-2,1,0,0,
47,20000,2,1,2,22,0,0,2,-1,0,0,1,20075,79328,
48,150000,2,5,2,46,0,0,-1,0,0,-2,1,2183,9837,
49,380000,1,2,2,32,-1,-1,-1,-1,-1,-1,0,93332,114815,
50,20000,1,1,2,24,0,0,0,0,0,0,0,6246,115810,
51,70000,1,3,2,42,1,2,2,2,2,0,1,8100,229012,
52,100000,2,3,3,43,0,0,0,0,0,0,0,9606,265185,
53,310000,2,2,1,49,-2,-2,-2,-2,-2,-2,0,30668,44125,
54,180000,2,1,2,25,1,2,0,0,0,0,0,10246,259151,
55,150000,2,1,2,29,2,0,0,0,0,0,0,12867,176751,
56,500000,2,1,1,45,-2,-2,-2,-2,-2,-2,0,6483,8388,
57,180000,2,3,1,34,0,0,0,-1,-1,-1,0,29179,55404,
58,180000,2,2,1,34,0,0,0,0,0,0,0,34062,952362,
59,200000,2,1,2,34,-1,3,2,2,2,2,0,1900,6747,
60,400000,2,2,1,29,0,0,0,0,0,0,0,109029,2284140,
61,500000,2,3,1,28,0,0,0,0,0,0,1,8816,109699,
62,70000,1,2,1,39,0,0,0,0,0,-1,0,12120,244242,
63,50000,1,1,2,29,2,2,2,2,2,2,1,6125,157674,
64,50000,2,2,1,46,0,0,0,-2,-2,-2,1,1000,57884,
65,130000,2,2,1,51,-1,-1,-2,-2,-1,-1,0,2353,2452,
66,200000,1,1,1,57,-2,-2,-2,-1,2,2,1,9522,469636,
67,10000,1,2,1,56,2,2,2,0,0,0,1,3010,22852,
68,210000,2,1,2,30,2,-1,-1,-1,-1,-1,0,9198,8589,
69,130000,2,3,2,29,1,-2,-2,-1,2,-1,0,41379,7901,
70,20000,1,5,2,22,2,0,0,0,0,0,0,3700,88326,
71,80000,1,1,2,31,-1,-1,-1,-1,-1,-1,0,1950,2340,
72,320000,1,2,2,29,2,2,2,2,2,2,1,13800,362152,
73,200000,2,2,1,32,-1,-1,-1,-1,2,-1,0,19512,26425,
74,290000,2,1,2,37,1,-2,-1,-1,-1,-1,0,5514,5514,
75,340000,1,1,2,32,-1,-1,-1,-1,-1,-1,0,141997,142199,
76,20000,1,2,2,24,0,0,2,0,0,0,0,5590,101328,
77,50000,1,3,2,25,-1,0,0,0,0,0,0,6358,145406,
78,300000,2,1,1,45,-1,-1,-1,-1,-1,-1,0,1746,1746,
79,30000,2,2,2,22,0,0,0,0,0,0,1,8411,149186,
80,240000,2,2,2,44,1,-2,-2,-2,-2,-2,1,0,0,
81,470000,2,3,3,33,0,0,0,0,0,0,0,21926,614823,
82,360000,2,1,2,26,0,0,0,0,0,-1,0,161355,294903,
83,60000,1,3,2,30,0,0,0,0,0,0,1,5345,143566,
84,400000,2,2,1,44,0,0,2,0,0,0,0,22753,700952,
85,50000,2,3,2,49,0,0,0,0,0,0,0,6052,177499,
86,160000,1,2,2,33,0,0,0,0,0,0,0,101747,667013,
87,360000,2,1,1,45,-1,-1,2,0,-1,-1,1,2340,3510,
88,160000,2,2,2,32,0,0,0,0,0,-1,0,8216,31623,
89,130000,2,1,1,35,0,0,0,-1,-1,-1,0,56705,226534,
90,20000,1,3,2,44,2,2,0,0,0,2,0,6151,61309,
91,200000,1,1,1,53,2,2,2,2,2,2,1,32800,862167,
92,280000,2,1,2,39,-1,-1,-1,0,0,-2,0,3968,15360,
93,100000,2,1,2,27,-2,-2,-2,-2,-2,-2,0,7555,3555,
94,160000,2,2,1,37,-1,-1,-1,-1,-1,-2,0,11018,4162,
95,60000,2,2,2,23,0,0,0,0,0,0,0,6261,197839,
96,90000,1,2,2,35,0,0,0,0,0,0,0,11756,354716,
97,360000,1,1,1,43,-1,-1,-1,-1,-1,0,0,120613,58460,
98,150000,1,1,2,27,0,0,0,0,0,0,0,23841,479411,
99,50000,2,3,1,22,0,0,0,0,0,0,0,3783,83794,
100,20000,1,2,1,38,0,0,0,0,0,-1,1,5685,93217,
101,140000,1,1,2,32,-2,-2,-2,-2,-2,-2,0,13007,13679,
102,380000,2,1,2,30,-2,-2,-1,0,0,0,0,42019,132602,
103,480000,1,1,1,63,0,0,0,2,2,0,0,130971,2761015,
104,50000,2,3,2,22,0,0,0,0,0,0,1,6870,205366,
105,60000,2,2,2,26,2,2,2,2,2,0,0,13517,342038,
106,70000,2,2,2,24,-1,-1,-2,-2,-2,-1,0,28529,32109,
107,80000,2,2,1,36,-1,-1,-1,-1,-1,-1,0,12794,17865,
108,350000,1,1,2,52,-1,-1,-1,-1,-1,-1,0,15285,10987,
109,130000,1,2,2,38,0,0,0,-1,-1,-1,0,287768,680938,
110,360000,1,2,1,35,1,-2,-2,-2,-2,-2,0,0,-618,
111,330000,2,1,1,31,0,0,2,0,0,0,0,32747,639580,
112,50000,1,3,1,47,0,0,2,0,0,0,0,7000,93139,
113,280000,1,2,1,41,2,2,2,2,2,3,0,40604,855008,
114,100000,2,1,2,24,0,0,0,0,0,0,0,17866,335186,
115,50000,1,2,2,41,0,0,0,0,0,0,0,5471,119110,
116,30000,1,1,2,24,-1,2,0,0,3,2,1,6312,117660,
117,240000,1,1,2,28,-1,-1,-1,-1,-1,-1,0,7656,7456,
118,80000,1,2,2,26,2,0,0,0,0,0,1,7700,99022,
119,400000,1,2,1,34,-1,-1,-1,-1,-1,-1,0,57891,71828,
120,240000,2,2,2,38,0,0,0,0,-1,-1,0,11073,209703,
121,50000,1,3,2,37,2,2,2,3,2,2,1,10235,290245,
122,450000,1,1,1,40,1,-2,-2,-2,-2,-2,1,0,0,
123,110000,2,1,1,48,1,-2,-2,-2,-2,-2,0,0,0,
124,310000,2,2,1,35,2,0,0,0,0,0,1,53973,1626538,
125,20000,1,1,2,27,0,0,0,0,0,0,0,4308,112100,
126,20000,1,2,2,23,1,-2,-2,-2,-2,-2,0,0,0,
127,200000,1,3,2,52,0,0,0,0,0,0,0,22056,617685,
128,180000,1,1,1,36,0,0,0,0,0,0,1,14771,668882,
129,50000,1,2,1,51,0,0,0,0,0,0,1,6200,30548,
130,60000,1,3,1,55,3,2,2,0,0,0,0,7511,264125,
131,30000,2,1,2,23,1,-2,-2,-2,-1,-1,0,31886,32776,
132,240000,1,1,2,41,1,-1,-1,0,0,-1,0,8944,11279,
133,420000,1,2,1,34,0,0,0,0,0,0,0,53309,1349911,
134,330000,1,3,1,46,0,0,0,0,0,0,0,49096,1369317,
135,30000,2,2,2,22,0,0,0,0,0,0,0,5460,123482,
136,240000,1,2,1,34,0,0,0,2,2,2,0,4627,77708,
137,150000,1,1,2,27,0,0,0,0,0,0,0,20000,140829,
138,210000,2,2,1,33,0,0,0,0,0,0,0,7046,43256,
139,50000,2,3,1,51,-1,-1,-1,-1,-2,-2,1,6180,6932,
140,50000,1,1,2,24,0,0,0,0,0,0,0,8960,208330,
141,240000,1,1,2,47,1,-2,-2,-2,-2,-2,1,0,0,
142,180000,1,2,2,28,-1,-1,-1,-1,-1,-1,0,5580,3828,
143,50000,1,2,2,23,1,2,2,2,0,0,0,13500,99487,
144,170000,1,2,2,29,-2,-2,-2,-2,-2,-2,0,65846,67988,
145,20000,1,1,2,29,-1,-1,-1,-1,0,-1,0,23641,26510,
146,50000,1,1,2,28,0,0,0,0,0,3,0,7183,48184,
147,170000,2,2,2,27,0,0,0,0,0,0,1,3752,105012,
148,200000,1,1,2,34,1,2,0,0,0,0,0,87000,794273,
149,80000,2,2,1,23,1,2,3,2,0,0,0,4121,61950,
150,260000,2,1,1,60,1,-2,-1,-1,-1,-1,0,24469,21038,
151,140000,1,2,1,32,0,0,0,0,2,0,0,16267,411323,
152,80000,1,1,2,25,0,0,0,0,0,0,0,63000,256528,
153,350000,1,1,2,41,1,-1,-1,-1,-1,-2,0,4536,4744,
154,280000,2,2,1,56,0,0,0,0,0,0,0,133200,971621,
155,30000,2,3,2,26,0,0,0,0,0,0,0,8700,70072,
156,140000,1,1,1,34,0,0,0,0,0,0,0,35389,222980,
157,200000,2,1,2,37,0,0,0,0,0,0,0,22560,575407,
158,200000,2,3,2,30,0,0,0,0,0,0,0,37788,1018160,
159,210000,1,3,1,45,2,3,4,4,5,6,1,65268,805451,
160,50000,1,3,1,57,3,2,0,0,0,0,0,3800,79884,
161,30000,1,1,2,41,2,2,2,2,2,0,0,8150,162596,
162,50000,1,2,2,27,2,-1,-1,-1,-1,2,0,2640,3396,
163,290000,1,3,1,47,-1,-1,-1,-1,0,-1,0,2376,3637,
164,250000,2,1,1,34,0,0,2,0,0,0,0,39850,918942,
165,60000,2,2,1,46,0,0,0,0,0,0,0,10000,150304,
166,110000,2,1,2,27,0,0,0,0,0,0,0,21100,539339,
167,370000,1,1,2,50,-2,-2,-2,-2,-2,-2,0,61944,63070,
168,100000,1,2,1,27,-1,2,2,0,0,0,0,55906,310089,
169,90000,2,2,1,35,0,0,0,0,0,2,0,24652,472951,
170,50000,2,2,2,22,0,0,0,0,0,0,0,6795,171359,
171,270000,1,2,2,37,0,0,0,0,0,0,0,19000,180209,
172,300000,2,1,2,30,-1,-1,-1,-1,-1,-1,0,11846,11780,
173,50000,2,2,2,22,-1,0,0,0,0,0,0,31149,53787,
174,50000,2,1,2,24,1,-2,-2,-2,-2,-2,1,0,-11569,
175,360000,1,1,2,29,1,-2,-1,-1,-2,-2,0,77,77,
176,130000,1,3,1,56,1,2,2,2,2,3,1,14500,410575,
177,80000,1,1,2,30,-2,-1,0,0,0,0,0,6004,15624,
178,50000,1,2,2,30,1,2,0,0,0,2,0,6500,220483,
179,20000,2,2,2,22,0,0,0,0,0,0,0,6913,83914,
180,80000,2,2,1,29,0,0,2,0,0,0,0,8800,323559,
181,240000,1,1,2,37,-1,-1,2,0,0,-1,0,84191,118261,
182,80000,2,3,2,35,0,-1,0,0,0,0,0,29000,129487,
183,500000,2,1,1,47,0,0,0,0,0,0,0,222550,579243,
184,60000,2,2,1,24,0,0,0,0,0,0,1,10837,222443,
185,20000,1,2,2,25,0,0,0,0,0,-1,0,5353,50904,
186,100000,2,2,1,38,1,2,0,0,2,0,1,5600,92351,
187,360000,2,1,2,32,1,-1,-1,-1,-1,-1,0,199288,163546,
188,200000,2,3,2,47,2,2,2,2,2,2,1,35984,1182582,
189,130000,2,2,1,34,1,-1,0,0,0,0,0,17397,57742,
190,20000,2,2,2,31,1,5,4,4,3,2,0,1760,125792,
191,310000,1,1,2,32,0,0,0,0,0,0,0,40419,353740,
192,60000,2,1,2,27,2,0,0,0,2,0,1,6752,130018,
193,180000,2,1,2,29,-1,-1,-1,-2,-1,0,0,22881,45854,
194,180000,2,1,2,24,-1,-1,2,0,0,-2,0,38067,68239,
195,50000,1,2,1,36,0,0,0,0,-1,-1,0,26511,84870,
196,50000,2,1,2,24,1,2,2,2,2,2,1,8132,228759,
197,150000,2,2,1,34,-2,-2,-2,-2,-2,-2,0,1616,1616,
198,20000,2,1,2,22,0,0,0,0,-1,0,0,24766,103511,
199,500000,2,1,1,34,-2,-2,-2,-1,-1,-1,0,21861,6457,
200,30000,2,3,2,22,1,2,2,0,0,0,1,2903,117854,
201,180000,2,1,1,38,-2,-2,-2,-2,-2,-2,0,0,750,
202,140000,1,1,2,31,0,0,2,0,0,2,0,38300,130872,
203,140000,2,1,2,26,-1,0,-1,-1,-1,-1,0,49839,64236,
204,120000,1,2,2,26,0,0,0,0,0,0,0,29152,688894,
205,360000,2,2,1,48,0,0,0,0,0,0,0,37500,1202779,
206,20000,1,3,1,43,-1,-1,0,0,0,0,0,31538,98941,
207,100000,1,1,1,47,-1,-1,-1,-1,-1,-1,0,5023,3033,
208,210000,2,2,1,41,-1,-1,-1,-1,-1,-1,1,6988,9657,
209,80000,2,2,2,24,0,0,0,0,0,0,1,13838,391407,
210,330000,2,1,1,50,-1,-1,-1,-1,-2,-2,0,10868,19462,
211,220000,1,1,2,24,0,0,0,-1,-1,-1,0,103985,419979,
212,210000,2,1,1,38,1,-2,-1,0,-1,-1,1,11877,2384,
213,40000,2,3,1,43,0,0,0,0,0,0,0,8404,215945,
214,30000,1,2,2,39,0,0,0,2,0,0,0,8493,103603,
215,470000,1,2,2,27,2,2,2,2,0,0,0,55690,2002818,
216,30000,1,3,1,42,-1,-1,-1,-1,-1,2,0,2490,3510,
217,240000,2,2,1,36,1,-2,-2,-2,-2,-2,1,0,-5676,
218,80000,1,2,2,36,2,0,0,0,0,0,0,19500,470809,
219,110000,2,3,0,31,0,0,0,0,0,0,0,26954,453847,
220,310000,2,1,2,38,-1,-1,-1,-1,-2,-2,0,4668,6092,
221,360000,2,1,1,40,2,2,2,0,0,0,1,32100,685565,
222,330000,2,3,2,45,0,0,0,0,0,0,0,73223,2005418,
223,300000,2,2,2,35,0,0,0,0,0,0,0,74582,1431315,
224,320000,2,2,2,33,0,0,0,0,0,0,0,41866,437268,
225,50000,2,3,2,37,1,3,2,0,0,0,1,34317,243968,
226,170000,2,1,2,28,0,0,0,0,0,0,0,48549,772102,
227,350000,1,3,1,44,-1,-1,-1,-1,-1,-2,0,5119,8384,
228,20000,1,2,1,37,0,0,0,0,0,0,0,7564,108461,
229,50000,1,2,2,23,2,0,0,0,0,0,1,9074,202501,
230,20000,2,3,2,24,1,2,0,0,0,0,0,5133,63912,
231,50000,2,1,2,24,0,0,0,0,0,0,0,6732,132930,
232,20000,1,2,2,23,1,2,0,0,2,0,1,13200,94656,
233,50000,1,2,1,26,0,0,-2,-1,-1,0,0,51938,197548,
234,190000,1,2,2,34,2,0,0,0,2,2,1,34887,828058,
235,60000,2,2,1,33,0,0,0,0,0,0,0,5935,175794,
236,80000,1,1,2,35,-1,-1,-1,-1,-1,-1,0,36293,41852,
237,150000,2,2,2,27,0,0,0,0,0,0,0,12625,399780,
238,210000,2,1,2,31,-2,-2,-2,-2,-1,-1,0,19989,18130,
239,240000,2,3,1,50,0,0,0,0,0,0,1,50997,1313227,
240,140000,2,2,3,41,0,0,0,0,0,0,1,13597,115854,
241,60000,2,1,2,28,1,2,2,-2,-2,-1,0,2285,44436,
242,50000,1,1,2,39,0,0,0,0,0,0,0,12800,241244,
243,50000,2,2,2,27,0,0,0,0,0,0,0,7950,169234,
244,180000,2,1,2,32,-1,-1,2,2,-1,-1,0,5818,14634,
245,30000,2,1,2,40,-1,-1,2,2,2,2,0,595,613,
246,20000,2,2,2,40,0,0,0,0,0,-2,0,5918,79889,
247,250000,2,2,1,75,0,-1,-1,-1,-1,-1,0,11727,63417,
248,100000,2,2,2,27,0,0,0,0,0,0,0,8260,196498,
249,330000,1,1,2,25,0,0,0,0,2,0,0,15230,256005,
250,50000,1,3,1,46,0,0,0,0,0,0,0,7027,117871,
251,50000,2,2,2,26,1,2,2,0,0,0,0,10062,240862,
252,30000,1,2,2,28,0,0,0,0,0,0,0,8056,135160,
253,140000,2,2,2,26,0,0,0,0,0,0,1,25041,631439,
254,160000,2,1,2,28,0,0,0,0,-1,0,0,132311,337391,
255,400000,2,2,2,29,-1,0,-1,-1,-1,-1,0,14825,34030,
256,50000,1,2,1,25,0,0,0,0,0,0,0,6842,173552,
257,140000,2,2,1,48,0,-1,-1,-1,-1,-1,0,27501,27095,
258,160000,2,2,1,33,-1,-1,-1,-1,0,-1,0,68661,82207,
259,100000,2,3,1,43,0,0,-2,-2,-2,-2,0,0,62170,
260,220000,1,1,1,48,2,0,0,0,0,0,1,42020,1129440,
261,510000,2,1,2,29,0,0,0,0,0,0,0,160470,513211,
262,50000,1,2,2,29,0,0,0,0,0,0,0,16512,202201,
263,160000,2,1,1,38,-1,-1,-1,-1,2,-1,0,44142,63277,
264,230000,2,1,2,37,-2,-2,-2,-2,-2,-2,0,51952,53735,
265,80000,2,1,2,37,-1,-1,-1,-1,-1,-1,0,28957,35054,
266,150000,2,2,1,25,-1,-1,-2,-1,-1,-1,0,1264,7104,
267,10000,1,3,2,23,0,0,0,0,0,2,0,3932,52136,
268,130000,2,3,2,49,0,0,0,0,0,0,1,9986,357781,
269,40000,2,1,2,48,0,0,0,0,0,0,0,9200,207975,
270,50000,1,2,2,27,3,2,2,0,0,-1,1,6631,73717,
271,100000,1,3,2,32,0,0,0,0,0,0,0,9686,180209,
272,120000,1,1,1,34,-1,2,-1,0,0,0,0,1800,4414,
273,260000,2,1,2,58,1,-2,-2,-2,-2,-2,1,0,0,
274,200000,2,2,2,33,0,0,0,0,0,0,0,11522,80871,
275,360000,2,2,2,28,-2,-2,-2,-2,-2,-2,1,0,0,
276,70000,2,2,2,36,0,0,0,0,0,0,0,28247,265753,
277,460000,1,1,1,40,2,-1,-1,-1,-1,-1,1,27927,28039,
278,50000,2,1,2,26,-1,-1,-1,-1,-1,-1,0,1896,2736,
279,50000,1,3,1,33,0,0,0,0,0,0,0,7004,211791,
280,250000,2,2,1,31,0,0,0,0,0,0,0,26900,604011,
281,30000,2,1,2,27,0,0,-1,0,0,-2,0,3164,6448,
282,270000,1,2,1,44,0,0,0,0,-1,-1,0,144214,486594,
283,180000,2,3,2,30,0,0,0,0,0,0,0,27192,760211,
284,100000,2,1,2,28,0,0,0,0,0,0,0,20198,323182,
285,230000,2,3,1,32,0,0,0,0,0,0,0,29000,667517,
286,210000,2,1,1,46,-1,-1,-1,-1,-1,-1,0,120470,211039,
287,210000,1,1,2,38,2,0,0,0,0,0,0,13804,358970,
288,440000,2,2,1,46,0,0,0,0,0,0,0,29746,828179,
289,100000,2,2,2,25,2,0,0,0,0,0,1,13210,403638,
290,240000,2,2,1,46,0,0,0,0,0,0,0,6295,56097,
291,280000,1,1,2,33,-1,-1,-1,-1,-1,-1,1,347739,-336259,
292,50000,2,2,2,22,1,-2,-2,-2,-2,-2,1,0,0,
293,30000,1,2,1,43,3,2,2,2,2,2,0,2000,12972,
294,10000,1,2,2,27,0,0,2,0,0,0,1,5470,56848,
295,130000,1,1,2,29,1,-2,-2,-2,-2,-2,0,1500,0,
296,200000,1,1,2,31,0,0,0,0,0,0,0,36425,978958,
297,120000,2,2,1,29,-1,-1,-1,-1,-1,-1,0,8715,7765,
298,210000,2,2,1,36,0,0,0,0,0,0,0,32709,858448,
299,280000,2,1,1,36,0,0,0,0,0,0,0,11718,273640,
300,300000,1,1,2,34,1,-2,-1,0,-1,-1,1,32799,45400,
301,100000,1,2,2,37,0,0,0,0,0,0,0,15303,462851,
302,440000,2,1,2,36,-2,-2,-2,-2,-2,-2,0,162000,0,
303,50000,2,3,1,40,0,0,0,0,0,0,0,7606,154301,
304,20000,2,1,2,25,0,0,2,0,0,0,1,11500,98447,
305,200000,2,1,2,27,-1,-1,-1,0,0,0,0,12927,18236,
306,110000,2,2,2,26,-2,-2,-2,-2,-2,-2,0,12124,12860,
307,500000,2,2,1,36,-1,-1,-1,-1,-1,-1,0,37052,47529,
308,300000,2,2,1,27,1,-1,-1,-2,-2,-2,0,5215,5215,
309,30000,1,3,1,55,2,2,2,3,3,4,1,8900,72863,
310,60000,2,1,2,27,-1,-1,-1,-1,-1,-1,0,47111,65912,
311,400000,2,2,1,38,-1,0,-1,-1,0,-1,0,19153,21153,
312,180000,2,2,1,34,0,0,0,0,0,0,0,32000,827666,
313,20000,1,1,2,40,0,0,0,2,0,0,0,10600,79047,
314,200000,2,3,1,49,-1,2,2,2,0,0,1,16286,333047,
315,100000,1,1,2,27,0,0,0,0,0,0,0,4871,194503,
316,60000,1,2,2,23,0,0,0,0,0,0,1,8013,171532,
317,110000,2,2,2,36,0,0,0,0,0,0,0,13500,303817,
318,260000,2,3,1,53,1,-1,-1,-2,-2,-1,0,2484,2025,
319,50000,2,3,1,46,3,2,2,0,0,0,0,7372,213516,
320,180000,1,2,2,29,1,-2,-2,-2,-2,-2,0,0,-12,
321,110000,1,2,2,29,1,2,2,0,0,0,1,10354,311346,
322,340000,2,1,2,27,0,0,0,0,0,0,0,90147,923137,
323,50000,1,2,2,24,-1,0,0,0,0,0,0,11019,31650,
324,230000,2,2,1,28,0,0,0,-2,-1,-1,1,11750,55327,
325,360000,2,2,2,32,0,0,0,0,0,0,0,57000,575409,
326,210000,1,2,2,43,1,-2,-1,0,0,0,0,52013,160699,
327,220000,2,2,1,41,-1,2,2,-1,2,-1,1,1925,3375,
328,60000,2,2,1,34,2,2,2,2,2,0,1,10111,170082,
329,340000,1,2,1,55,-2,-1,-1,-2,-2,-2,0,164386,137566,
330,150000,1,1,1,40,2,2,2,2,2,2,0,25700,624055,
331,200000,2,2,1,37,1,-1,2,-1,-1,-1,1,51400,47390,
332,130000,2,2,2,40,0,0,2,0,0,0,1,7200,66514,
333,60000,2,1,2,28,1,2,0,0,0,0,0,30696,96266,
334,400000,2,2,1,43,1,-2,-2,-2,-1,-1,0,79988,79988,
335,20000,1,1,2,27,0,0,0,0,0,0,0,5503,116747,
336,190000,2,1,2,28,0,0,0,0,0,0,0,36836,912875,
337,260000,2,1,2,30,0,0,0,0,0,0,0,44000,953100,
338,140000,2,2,2,31,-2,-2,-2,-2,-2,-2,0,0,390,
339,50000,2,2,1,31,0,0,0,0,0,0,1,10607,234080,
340,120000,2,1,2,34,-1,-1,0,-1,-1,-1,0,20204,16986,
341,240000,2,2,2,30,-2,-2,-2,-2,-2,-2,0,2159,368,
342,50000,1,2,2,36,0,0,0,0,-1,0,0,3390,18847,
343,200000,2,1,2,29,-1,2,-1,-1,-1,2,0,31055,76669,
344,180000,1,1,1,39,0,0,-1,0,0,-1,0,284903,920802,
345,180000,2,1,2,26,0,0,0,0,0,0,0,26710,734847,
346,160000,2,1,2,29,-1,-1,-2,-1,0,0,0,24500,9832,
347,100000,2,2,2,26,-1,-1,-1,0,0,0,0,13974,19223,
348,50000,2,2,2,29,0,0,0,0,0,0,1,13000,273459,
349,140000,2,2,2,31,0,0,0,0,0,0,0,34500,839924,
350,30000,2,2,2,26,0,0,0,0,0,0,1,6064,117890,
351,90000,1,1,2,26,0,0,-1,0,0,-1,0,31842,86582,
352,200000,1,1,1,36,1,-2,-1,-1,-2,-1,0,171133,-26795,
353,380000,1,1,2,30,1,-2,-2,-2,-2,-2,1,0,0,
354,80000,2,2,2,43,0,0,0,0,0,0,0,12045,303152,
355,50000,1,3,1,58,2,2,2,0,0,2,0,6673,109216,
356,180000,1,2,1,45,-1,0,0,0,0,0,1,8781,177278,
357,240000,2,2,2,26,0,0,0,0,0,0,0,27398,724940,
358,380000,1,2,2,34,0,0,0,0,0,0,0,64410,1082561,
359,110000,2,4,2,24,0,0,0,0,0,0,0,19300,487656,
360,260000,1,1,1,34,-1,-1,-1,-1,-1,-1,0,121666,137687,
361,500000,2,2,2,23,4,3,2,0,0,0,1,75500,2926653,
362,320000,2,2,2,30,0,0,0,0,0,0,0,15669,436318,
363,50000,1,2,2,32,4,3,2,0,0,0,0,5485,248859,
364,110000,1,1,1,40,1,-2,-1,0,-1,-1,1,2564,4498,
365,230000,2,1,2,35,-2,-2,-2,-2,-2,-2,0,3073,3314,
366,330000,2,2,1,56,1,-1,-1,-2,-1,-1,0,16061,15640,
367,50000,2,2,1,61,0,0,0,0,0,0,0,10251,218302,
368,10000,1,2,2,24,-1,2,2,2,0,0,0,1650,14752,
369,300000,1,1,1,40,1,-2,-2,-2,-2,-2,0,0,0,
370,20000,2,2,1,32,3,2,0,0,0,0,1,3190,93331,
371,180000,1,2,1,36,2,2,-2,-2,-2,-2,1,0,83538,
372,160000,1,1,2,30,-1,-1,-1,-1,-1,-1,0,119926,61480,
373,90000,2,1,2,34,0,0,0,2,2,2,0,20640,253776,
374,30000,1,3,3,54,0,0,0,0,0,0,0,12000,141140,
375,180000,1,1,1,46,0,0,0,0,0,0,0,189463,836186,
376,30000,1,3,1,58,0,0,0,0,0,0,0,8016,126272,
377,30000,1,2,1,43,1,2,0,0,0,2,0,7488,132258,
378,140000,2,1,2,28,-1,0,0,-1,-1,-1,0,35946,45024,
379,210000,1,1,2,30,0,0,0,0,0,0,0,25500,327465,
380,50000,1,2,2,31,0,0,0,0,0,0,1,16327,83951,
381,130000,2,2,2,29,0,0,0,0,0,0,0,20500,472379,
382,50000,2,2,1,37,2,2,2,0,0,0,1,3500,16397,
383,140000,1,3,1,36,0,0,0,0,0,0,0,47700,538393,
384,170000,2,2,2,28,-1,0,0,2,0,0,1,3899,29372,
